grid_lat,grid_lon,optimal_bw,avg_actual_bw
41.889,-87.632,70,54.50961538461539
41.8895,-87.632,80,48.90957446808511
41.89,-87.632,80,44.23880597014926
41.8915,-87.632,80,47.60722058635258
41.892,-87.632,80,53.917992120239305
41.893,-87.632,80,56.24167171411266
41.8935,-87.632,80,50.77348940208795
41.894,-87.632,80,50.00998003992016
41.8945,-87.632,45,39.5759137769447
41.8955,-87.632,45,41.016129032258064
41.8965,-87.632,75,30.431578947368422
41.899,-87.632,45,27.63723150357995
41.889,-87.6315,55,55.0
41.8895,-87.6315,80,52.67806267806267
41.89,-87.6315,80,40.15552995391705
41.8915,-87.6315,80,49.89461358313817
41.892,-87.6315,80,54.28402211108186
41.893,-87.6315,80,59.35333761232349
41.8935,-87.6315,80,46.891352549889135
41.894,-87.6315,80,47.69060773480664
41.8955,-87.6315,45,43.31036084869134
41.8965,-87.6315,75,39.470588235294116
41.899,-87.6315,45,30.26515151515152
41.889,-87.631,70,62.232142857142854
41.89,-87.631,45,35.598958333333336
41.8915,-87.631,80,64.17879417879419
41.892,-87.631,80,53.07563817029296
41.8925,-87.631,80,38.03082191780822
41.893,-87.631,45,40.997113618472845
41.8935,-87.631,80,47.812773403324584
41.894,-87.631,80,52.4026792750197
41.8945,-87.631,70,38.13361462728551
41.895,-87.631,45,32.82169117647058
41.8955,-87.631,75,37.9782110091743
41.896,-87.631,80,37.171779141104295
41.8965,-87.631,80,35.96118299445472
41.897,-87.631,30,27.62730465320457
41.898,-87.631,80,33.067092651757186
41.8985,-87.631,80,31.976166832174776
41.899,-87.631,80,31.97438376027067
41.8995,-87.631,80,33.62652374947458
41.9,-87.631,30,28.823529411764707
41.889,-87.6305,75,71.40625
41.89,-87.6305,40,35.375218150087264
41.8915,-87.6305,80,68.28168781935058
41.892,-87.6305,80,54.17683849490568
41.893,-87.6305,45,44.36590575357095
41.8935,-87.6305,75,48.41807909604519
41.894,-87.6305,80,49.52097902097903
41.8945,-87.6305,80,45.8378962536023
41.895,-87.6305,45,32.628865979381445
41.8955,-87.6305,45,40.09785647716682
41.8965,-87.6305,80,65.46160877513712
41.898,-87.6305,40,26.55579399141631
41.8985,-87.6305,80,31.45731707317073
41.8995,-87.6305,80,30.68502824858757
41.89,-87.63,45,36.252983293556085
41.8915,-87.63,80,63.00720620842572
41.892,-87.63,80,62.40891604435393
41.8925,-87.63,75,53.71165644171779
41.893,-87.63,45,44.72853185595568
41.8935,-87.63,75,39.39975990396159
41.894,-87.63,80,43.156676950198325
41.8945,-87.63,80,51.477832512315274
41.8955,-87.63,45,41.70912951167728
41.896,-87.63,80,80.0
41.8965,-87.63,80,65.61746261456825
41.898,-87.63,80,41.19289340101523
41.8985,-87.63,80,43.048295454545446
41.8995,-87.63,70,31.558001693480097
41.889,-87.6295,80,75.19148936170214
41.8895,-87.6295,80,71.73717948717949
41.89,-87.6295,80,62.183908045977006
41.891,-87.6295,80,73.55
41.8915,-87.6295,80,58.145161290322584
41.892,-87.6295,80,60.128042519780145
41.8925,-87.6295,80,59.98763489208632
41.893,-87.6295,80,51.72095624213617
41.8935,-87.6295,80,47.34889287851585
41.894,-87.6295,80,46.58876003568242
41.8945,-87.6295,80,53.45786864931846
41.895,-87.6295,80,60.808876163206875
41.8955,-87.6295,80,55.19492753623188
41.896,-87.6295,80,65.33961090374392
41.8965,-87.6295,80,71.1013267582482
41.897,-87.6295,80,74.65346534653467
41.898,-87.6295,80,59.69007263922518
41.8985,-87.6295,80,52.96704793028322
41.899,-87.6295,80,45.58926233085989
41.8995,-87.6295,80,42.50426499857834
41.9,-87.6295,75,31.885465505693237
41.889,-87.629,80,76.66233766233766
41.89,-87.629,75,56.6770670826833
41.8915,-87.629,80,45.23383973786119
41.892,-87.629,80,67.10062071218556
41.893,-87.629,70,42.00980392156862
41.894,-87.629,75,40.31616341030195
41.8945,-87.629,80,57.14614343707713
41.895,-87.629,45,35.91800356506239
41.8955,-87.629,80,44.36291739894552
41.896,-87.629,80,80.0
41.8965,-87.629,80,73.05212014134278
41.898,-87.629,75,36.02196752626552
41.8985,-87.629,30,30.0
41.899,-87.629,80,39.93621741541875
41.8995,-87.629,75,37.1545380212592
41.9,-87.629,45,45.0
41.889,-87.6285,80,68.92703862660943
41.89,-87.6285,75,43.05769230769231
41.8915,-87.6285,75,38.75129533678757
41.892,-87.6285,80,68.67679436371643
41.893,-87.6285,45,39.37601736299512
41.894,-87.6285,45,40.826191751472955
41.8945,-87.6285,80,46.06636155606407
41.895,-87.6285,45,42.6063829787234
41.8955,-87.6285,70,41.10404251892414
41.8965,-87.6285,80,70.53152039555007
41.898,-87.6285,80,63.9027027027027
41.8985,-87.6285,80,78.68421052631578
41.899,-87.6285,80,56.428681454097344
41.8995,-87.6285,80,57.648979591836735
41.889,-87.628,80,52.15440356744705
41.89,-87.628,75,44.280353200883
41.891,-87.628,75,56.387387387387385
41.8915,-87.628,75,36.207685269899365
41.892,-87.628,80,47.364300626304804
41.8925,-87.628,80,34.745594240275096
41.893,-87.628,80,35.36366689053056
41.8935,-87.628,45,29.801788735798887
41.894,-87.628,425,39.040834845735034
41.8945,-87.628,80,36.8737818663756
41.895,-87.628,80,37.11388048805924
41.8955,-87.628,80,36.52303353180822
41.896,-87.628,80,40.03155818540435
41.8965,-87.628,80,64.14442616862101
41.897,-87.628,80,53.26777875329236
41.898,-87.628,80,55.57856945595139
41.8985,-87.628,80,54.12957598103767
41.899,-87.628,80,60.15028432168969
41.8995,-87.628,80,60.90768551236749
41.9,-87.628,80,54.74644128113879
41.889,-87.6275,80,49.057915057915054
41.89,-87.6275,75,35.79554043839758
41.891,-87.6275,80,67.8780487804878
41.8915,-87.6275,75,39.17503863987635
41.892,-87.6275,80,40.46449416342412
41.8925,-87.6275,80,41.622911694510734
41.893,-87.6275,45,34.13124708080337
41.894,-87.6275,80,39.50962135319677
41.8945,-87.6275,80,56.759151090342684
41.895,-87.6275,45,38.14814814814815
41.8955,-87.6275,45,36.7464972303682
41.8965,-87.6275,80,76.2917485265226
41.89,-87.627,75,22.817612252001396
41.8915,-87.627,75,40.473421926910305
41.892,-87.627,80,34.69883990719257
41.8925,-87.627,45,34.18669131238447
41.893,-87.627,45,34.8704954954955
41.894,-87.627,80,42.15668296658515
41.8945,-87.627,80,64.10512129380054
41.8955,-87.627,45,41.723155368926214
41.8965,-87.627,80,66.12638511394522
41.889,-87.6265,80,44.01693320790217
41.8895,-87.6265,70,42.08200455580865
41.89,-87.6265,75,40.576323987538935
41.891,-87.6265,80,55.17564176799845
41.8915,-87.6265,75,43.64713810052323
41.892,-87.6265,75,38.316662209146834
41.8925,-87.6265,420,39.9866471833115
41.893,-87.6265,425,77.9249674176131
41.8935,-87.6265,425,43.154311039484284
41.894,-87.6265,425,53.02842366396166
41.8945,-87.6265,80,55.93400697487258
41.895,-87.6265,80,63.788479599290405
41.8955,-87.6265,80,54.29382167095717
41.896,-87.6265,80,66.67770034843205
41.8965,-87.6265,80,67.98464825119237
41.897,-87.6265,70,60.505050505050505
41.889,-87.626,80,64.73684210526316
41.89,-87.626,35,30.375
41.8915,-87.626,75,37.59641542646823
41.892,-87.626,45,36.98835978835979
41.8925,-87.626,70,39.03978779840849
41.893,-87.626,425,163.73475385745775
41.894,-87.626,425,66.53220951234195
41.8945,-87.626,425,50.757327080890974
41.895,-87.626,80,42.552083333333336
41.8955,-87.626,80,38.21239261560958
41.8965,-87.626,425,68.70361445783132
41.889,-87.6255,80,57.82426778242677
41.8895,-87.6255,80,79.25925925925927
41.89,-87.6255,35,27.964824120603012
41.891,-87.6255,45,45.0
41.8915,-87.6255,75,39.578222778473105
41.892,-87.6255,425,53.90862479399377
41.8925,-87.6255,425,38.321041214750544
41.893,-87.6255,425,189.93005855562785
41.8935,-87.6255,425,122.4937655860349
41.894,-87.6255,425,77.57493188010899
41.8945,-87.6255,425,69.44032839407289
41.895,-87.6255,420,69.81573157315731
41.8955,-87.6255,425,43.409769008662174
41.896,-87.6255,80,55.52789566297483
41.8965,-87.6255,420,68.15567860644866
41.897,-87.6255,75,73.82530120481928
41.891,-87.625,70,32.77076761303891
41.8915,-87.625,75,37.38448707256047
41.892,-87.625,70,38.89777131782945
41.8925,-87.625,425,42.71869639794168
41.893,-87.625,425,84.31796761202982
41.8935,-87.625,425,74.56031266654823
41.894,-87.625,425,109.83444610982419
41.8945,-87.625,425,68.42570457976849
41.895,-87.625,420,74.81803367734926
41.8955,-87.625,80,49.34023464458247
41.896,-87.625,80,60.32550693703308
41.8965,-87.625,425,62.89307667421545
41.8915,-87.6245,75,37.123683316343865
41.892,-87.6245,70,34.447662391394296
41.8925,-87.6245,425,56.34483818894611
41.893,-87.6245,420,40.5498399634202
41.894,-87.6245,425,211.76398098703123
41.8945,-87.6245,80,47.18590260963143
41.895,-87.6245,80,49.347826086956516
41.8955,-87.6245,425,36.537863803334275
41.896,-87.6245,80,64.85623003194888
41.8965,-87.6245,425,84.59526976025303
41.891,-87.624,425,58.38338496554341
41.8915,-87.624,425,48.97113460988854
41.892,-87.624,425,54.52465931213498
41.8925,-87.624,425,91.37182972701201
41.893,-87.624,425,58.62789702908696
41.8935,-87.624,425,54.92389195642443
41.894,-87.624,425,76.49945115257958
41.8945,-87.624,425,47.364560360533126
41.895,-87.624,425,50.221126208518406
41.8955,-87.624,425,51.79952870854647
41.896,-87.624,425,82.46220979978324
41.8965,-87.624,425,93.24405494559598
41.897,-87.624,425,66.95553539019964
41.891,-87.6235,45,44.06066536203522
41.8915,-87.6235,45,39.00881612090679
41.892,-87.6235,425,49.896694214876035
41.8925,-87.6235,425,82.11333750782717
41.893,-87.6235,45,38.59552913596785
41.8935,-87.6235,425,99.63667820069205
41.894,-87.6235,425,185.84598987476687
41.8945,-87.6235,425,43.64150943396228
41.895,-87.6235,425,43.24579831932773
41.8955,-87.6235,425,46.62037037037037
41.8965,-87.6235,425,117.52459016393442
41.8915,-87.623,45,37.29717615419095
41.892,-87.623,70,56.678082191780824
41.8925,-87.623,425,81.23509725998746
41.893,-87.623,410,44.35543540125213
41.8935,-87.623,425,107.6046511627907
41.894,-87.623,445,219.3693152565643
41.8945,-87.623,425,61.09028393966281
41.895,-87.623,420,39.24237400530504
41.8955,-87.623,425,43.51170322390696
41.8965,-87.623,425,103.65213082259663
41.891,-87.6225,35,28.863636363636367
41.8915,-87.6225,45,42.74982091690545
41.892,-87.6225,420,59.86711786068009
41.8925,-87.6225,420,54.6228601997147
41.893,-87.6225,420,40.95577622539115
41.8935,-87.6225,425,86.33024869866975
41.894,-87.6225,445,287.4737718567861
41.8945,-87.6225,425,77.92503605274
41.895,-87.6225,425,67.32294962277926
41.8955,-87.6225,425,45.660491341119624
41.8965,-87.6225,425,66.45477386934674
41.891,-87.622,35,25.25
41.8915,-87.622,45,41.39960208142026
41.892,-87.622,45,31.242236024844715
41.8925,-87.622,80,47.73282176491106
41.893,-87.622,75,36.47502980527222
41.8935,-87.622,425,191.13793103448273
41.894,-87.622,445,343.5108244041111
41.8945,-87.622,425,42.38523230088496
41.895,-87.622,45,37.55905511811024
41.8955,-87.622,425,40.94467975869593
41.896,-87.622,45,35.56
41.8965,-87.622,425,40.46840775063185
41.8915,-87.6215,45,40.9005177514793
41.8925,-87.6215,80,40.935799782372136
41.893,-87.6215,80,38.745019920318725
41.8935,-87.6215,75,61.153846153846146
41.894,-87.6215,445,256.916881443299
41.8945,-87.6215,45,39.457753550423185
41.895,-87.6215,45,34.799331103678924
41.8955,-87.6215,70,37.63028385622639
41.8965,-87.6215,45,31.24239350912779
41.8915,-87.621,45,40.72705397043657
41.892,-87.621,45,45.0
41.8925,-87.621,80,39.00374659400545
41.893,-87.621,80,40.81984126984128
41.894,-87.621,445,134.04063205417611
41.8945,-87.621,80,40.14498844295019
41.895,-87.621,425,43.47937048064652
41.8955,-87.621,425,45.73972762192992
41.8965,-87.621,45,33.73480662983426
41.8915,-87.6205,45,37.29579929988331
41.8925,-87.6205,45,38.96151917773877
41.893,-87.6205,65,38.72851296043657
41.8935,-87.6205,45,32.41558441558441
41.894,-87.6205,425,54.994210282538205
41.8945,-87.6205,425,54.295693999083824
41.895,-87.6205,425,62.119906868451686
41.8955,-87.6205,425,94.93873811977558
41.8965,-87.6205,425,39.53529411764707
41.891,-87.62,45,41.09235010337698
41.8915,-87.62,45,37.275522755227556
41.892,-87.62,45,38.159143015258124
41.8925,-87.62,65,38.18016351375544
41.893,-87.62,80,38.7046141240334
41.8935,-87.62,415,38.35993153271075
41.894,-87.62,415,51.488732914665675
41.8945,-87.62,425,58.34842035849171
41.895,-87.62,425,78.93428315327641
41.8955,-87.62,425,130.69992978760754
41.896,-87.62,420,78.25206611570249
41.8965,-87.62,425,41.09718337994407
