pcell,freq,thres_a1,thres_a2,count
1150-191,2300_S,-140.0,-118.0,1
66786-469,1150_S,-126.0,-118.0,1
66786-347,1150_S,-140.0,-118.0,1
2300-347,1150_S,-140.0,-118.0,1
66786-482,1150_S,-126.0,-118.0,1
2300-339,5035_S,-140.0,-118.0,1
5035-122,2300_S,-140.0,-118.0,1
2300-161,5035_S,-140.0,-118.0,1
1150-218,2300_S,-140.0,-118.0,1
66786-218,1150_S,-140.0,-118.0,1
2300-497,1150_S,-126.0,-118.0,1
1150-271,2300_S,-140.0,-118.0,1
66786-280,1150_S,-140.0,-118.0,1
1150-226,2300_S,-140.0,-118.0,1
1150-473,2300_S,-126.0,-118.0,1
1150-347,2300_S,-140.0,-118.0,1
1150-282,2300_S,-140.0,-118.0,1
2300-475,5035_S,-140.0,-118.0,1
2300-63,5035_S,-140.0,-118.0,1
2300-221,5035_S,-140.0,-118.0,1
1150-270,5035_S,-126.0,-118.0,1
1150-270,2300_S,-126.0,-118.0,1
1150-109,5035_S,-126.0,-118.0,1
1150-109,2300_S,-126.0,-118.0,1
2300-453,1150_S,-140.0,-118.0,1
2300-192,5035_S,-140.0,-118.0,1
5035-5,2300_S,-140.0,-118.0,1
5035-402,2300_S,-140.0,-118.0,1
2300-114,1150_S,-140.0,-118.0,1
1150-84,2300_S,-140.0,-118.0,1
5035-254,1150_S,-140.0,-118.0,1
2300-472,5035_S,-140.0,-118.0,1
2300-374,5035_S,-140.0,-118.0,1
2300-477,1150_S,-140.0,-118.0,1
5035-208,2300_S,-140.0,-118.0,1
2300-226,1150_S,-140.0,-118.0,1
5035-211,2300_S,-140.0,-118.0,1
2300-109,5035_S,-126.0,-118.0,1
2300-50,1150_S,-140.0,-118.0,1
2300-11,1150_S,-140.0,-118.0,1
2300-316,1150_S,-140.0,-118.0,1
2300-371,1150_S,-140.0,-118.0,1
2300-407,1150_S,-140.0,-118.0,1
2300-21,1150_S,-140.0,-118.0,1
5035-482,1150_S,-140.0,-118.0,1
2300-153,1150_S,-140.0,-118.0,1
1150-273,2300_S,-140.0,-126.0,1
1150-40,2300_S,-140.0,-118.0,1
2300-55,1150_S,-140.0,-118.0,1
2300-155,1150_S,-140.0,-118.0,1
2300-88,1150_S,-140.0,-118.0,1
5035-11,1150_S,-140.0,-126.0,1
5035-11,2300_S,-140.0,-126.0,1
5035-161,2300_S,-140.0,-118.0,1
2300-227,1150_S,-140.0,-118.0,1
2300-255,5035_S,-140.0,-118.0,1
2300-92,5035_S,-140.0,-118.0,1
2300-240,5035_S,-140.0,-118.0,1
2300-107,5035_S,-140.0,-118.0,1
2300-9,1150_S,-140.0,-118.0,1
2300-269,1150_S,-140.0,-118.0,1
5035-98,2300_S,-140.0,-118.0,1
2300-399,5035_S,-140.0,-118.0,1
2300-202,1150_S,-140.0,-118.0,1
2300-204,1150_S,-140.0,-118.0,1
5035-288,1150_S,-140.0,-118.0,1
5035-376,2300_S,-140.0,-118.0,1
66786-472,1150_S,-140.0,-118.0,1
66786-474,1150_S,-140.0,-118.0,1
5035-299,1150_S,-140.0,-118.0,1
66786-323,1150_S,-140.0,-118.0,1
66786-37,1150_S,-140.0,-118.0,1
1150-280,2300_S,-140.0,-118.0,1
